Province,Year,Wage,Category
Alberta,2021,33.21,"Total employees, all industries"
Alberta,2022,33.64,"Total employees, all industries"
Alberta,2023,34.97,"Total employees, all industries"
Alberta,2024,36.38,"Total employees, all industries"
Alberta,2025,37.35,"Total employees, all industries"
British Columbia,2021,31.3,"Total employees, all industries"
British Columbia,2022,32.63,"Total employees, all industries"
British Columbia,2023,34.76,"Total employees, all industries"
British Columbia,2024,36.65,"Total employees, all industries"
British Columbia,2025,37.95,"Total employees, all industries"
Manitoba,2021,27.2,"Total employees, all industries"
Manitoba,2022,28.09,"Total employees, all industries"
Manitoba,2023,29.38,"Total employees, all industries"
Manitoba,2024,30.39,"Total employees, all industries"
Manitoba,2025,31.63,"Total employees, all industries"
New Brunswick,2021,25.53,"Total employees, all industries"
New Brunswick,2022,27.36,"Total employees, all industries"
New Brunswick,2023,28.72,"Total employees, all industries"
New Brunswick,2024,30.31,"Total employees, all industries"
New Brunswick,2025,31.27,"Total employees, all industries"
Newfoundland and Labrador,2021,28.45,"Total employees, all industries"
Newfoundland and Labrador,2022,29.4,"Total employees, all industries"
Newfoundland and Labrador,2023,31.01,"Total employees, all industries"
Newfoundland and Labrador,2024,32.48,"Total employees, all industries"
Newfoundland and Labrador,2025,33.42,"Total employees, all industries"
Nova Scotia,2021,26.06,"Total employees, all industries"
Nova Scotia,2022,27.41,"Total employees, all industries"
Nova Scotia,2023,28.87,"Total employees, all industries"
Nova Scotia,2024,30.79,"Total employees, all industries"
Nova Scotia,2025,32.39,"Total employees, all industries"
Ontario,2021,31.66,"Total employees, all industries"
Ontario,2022,32.97,"Total employees, all industries"
Ontario,2023,34.63,"Total employees, all industries"
Ontario,2024,36.44,"Total employees, all industries"
Ontario,2025,37.72,"Total employees, all industries"
Prince Edward Island,2021,25.3,"Total employees, all industries"
Prince Edward Island,2022,26.84,"Total employees, all industries"
Prince Edward Island,2023,27.94,"Total employees, all industries"
Prince Edward Island,2024,29.56,"Total employees, all industries"
Prince Edward Island,2025,30.11,"Total employees, all industries"
Quebec,2021,29.26,"Total employees, all industries"
Quebec,2022,30.95,"Total employees, all industries"
Quebec,2023,32.39,"Total employees, all industries"
Quebec,2024,33.84,"Total employees, all industries"
Quebec,2025,35.05,"Total employees, all industries"
Saskatchewan,2021,29.68,"Total employees, all industries"
Saskatchewan,2022,30.51,"Total employees, all industries"
Saskatchewan,2023,31.56,"Total employees, all industries"
Saskatchewan,2024,32.58,"Total employees, all industries"
Saskatchewan,2025,33.39,"Total employees, all industries"
Alberta,2021,38.78,Goods-producing sector
Alberta,2022,39.36,Goods-producing sector
Alberta,2023,40.58,Goods-producing sector
Alberta,2024,42.54,Goods-producing sector
Alberta,2025,43.61,Goods-producing sector
British Columbia,2021,33.09,Goods-producing sector
British Columbia,2022,35.16,Goods-producing sector
British Columbia,2023,36.88,Goods-producing sector
British Columbia,2024,38.68,Goods-producing sector
British Columbia,2025,40.0,Goods-producing sector
Manitoba,2021,27.71,Goods-producing sector
Manitoba,2022,28.26,Goods-producing sector
Manitoba,2023,30.12,Goods-producing sector
Manitoba,2024,31.0,Goods-producing sector
Manitoba,2025,32.02,Goods-producing sector
New Brunswick,2021,26.75,Goods-producing sector
New Brunswick,2022,27.96,Goods-producing sector
New Brunswick,2023,29.49,Goods-producing sector
New Brunswick,2024,31.74,Goods-producing sector
New Brunswick,2025,31.66,Goods-producing sector
Newfoundland and Labrador,2021,33.11,Goods-producing sector
Newfoundland and Labrador,2022,34.56,Goods-producing sector
Newfoundland and Labrador,2023,37.71,Goods-producing sector
Newfoundland and Labrador,2024,38.08,Goods-producing sector
Newfoundland and Labrador,2025,38.98,Goods-producing sector
Nova Scotia,2021,26.39,Goods-producing sector
Nova Scotia,2022,27.92,Goods-producing sector
Nova Scotia,2023,29.87,Goods-producing sector
Nova Scotia,2024,32.0,Goods-producing sector
Nova Scotia,2025,31.83,Goods-producing sector
Ontario,2021,31.18,Goods-producing sector
Ontario,2022,32.67,Goods-producing sector
Ontario,2023,35.05,Goods-producing sector
Ontario,2024,36.64,Goods-producing sector
Ontario,2025,37.51,Goods-producing sector
Prince Edward Island,2021,22.94,Goods-producing sector
Prince Edward Island,2022,24.47,Goods-producing sector
Prince Edward Island,2023,26.06,Goods-producing sector
Prince Edward Island,2024,27.42,Goods-producing sector
Prince Edward Island,2025,27.41,Goods-producing sector
Quebec,2021,30.11,Goods-producing sector
Quebec,2022,32.32,Goods-producing sector
Quebec,2023,34.53,Goods-producing sector
Quebec,2024,35.35,Goods-producing sector
Quebec,2025,37.13,Goods-producing sector
Saskatchewan,2021,33.7,Goods-producing sector
Saskatchewan,2022,34.65,Goods-producing sector
Saskatchewan,2023,35.96,Goods-producing sector
Saskatchewan,2024,37.15,Goods-producing sector
Saskatchewan,2025,38.15,Goods-producing sector
Alberta,2021,22.03,Agriculture
Alberta,2022,22.61,Agriculture
Alberta,2023,24.03,Agriculture
Alberta,2024,25.91,Agriculture
Alberta,2025,27.53,Agriculture
British Columbia,2021,22.12,Agriculture
British Columbia,2022,23.63,Agriculture
British Columbia,2023,22.54,Agriculture
British Columbia,2024,28.2,Agriculture
British Columbia,2025,28.4,Agriculture
Manitoba,2021,21.71,Agriculture
Manitoba,2022,20.66,Agriculture
Manitoba,2023,22.47,Agriculture
Manitoba,2024,24.21,Agriculture
Manitoba,2025,25.94,Agriculture
New Brunswick,2021,18.17,Agriculture
New Brunswick,2022,20.52,Agriculture
New Brunswick,2023,22.52,Agriculture
New Brunswick,2024,25.31,Agriculture
New Brunswick,2025,23.92,Agriculture
Newfoundland and Labrador,2021,21.49,Agriculture
Newfoundland and Labrador,2022,20.8,Agriculture
Newfoundland and Labrador,2023,25.31,Agriculture
Newfoundland and Labrador,2024,27.45,Agriculture
Newfoundland and Labrador,2025,26.75,Agriculture
Nova Scotia,2021,17.54,Agriculture
Nova Scotia,2022,19.06,Agriculture
Nova Scotia,2023,24.13,Agriculture
Nova Scotia,2024,21.89,Agriculture
Nova Scotia,2025,21.25,Agriculture
Ontario,2021,21.06,Agriculture
Ontario,2022,21.62,Agriculture
Ontario,2023,25.71,Agriculture
Ontario,2024,24.54,Agriculture
Ontario,2025,25.21,Agriculture
Prince Edward Island,2021,19.49,Agriculture
Prince Edward Island,2022,21.71,Agriculture
Prince Edward Island,2023,21.4,Agriculture
Prince Edward Island,2024,21.76,Agriculture
Prince Edward Island,2025,22.28,Agriculture
Quebec,2021,19.16,Agriculture
Quebec,2022,20.79,Agriculture
Quebec,2023,21.11,Agriculture
Quebec,2024,23.35,Agriculture
Quebec,2025,24.66,Agriculture
Saskatchewan,2021,23.56,Agriculture
Saskatchewan,2022,23.62,Agriculture
Saskatchewan,2023,27.04,Agriculture
Saskatchewan,2024,28.49,Agriculture
Saskatchewan,2025,28.01,Agriculture
Alberta,2021,49.36,"Forestry, fishing, mining, quarrying, oil and gas"
Alberta,2022,49.34,"Forestry, fishing, mining, quarrying, oil and gas"
Alberta,2023,52.48,"Forestry, fishing, mining, quarrying, oil and gas"
Alberta,2024,55.54,"Forestry, fishing, mining, quarrying, oil and gas"
Alberta,2025,58.84,"Forestry, fishing, mining, quarrying, oil and gas"
British Columbia,2021,44.03,"Forestry, fishing, mining, quarrying, oil and gas"
British Columbia,2022,42.54,"Forestry, fishing, mining, quarrying, oil and gas"
British Columbia,2023,45.32,"Forestry, fishing, mining, quarrying, oil and gas"
British Columbia,2024,50.01,"Forestry, fishing, mining, quarrying, oil and gas"
British Columbia,2025,48.75,"Forestry, fishing, mining, quarrying, oil and gas"
Manitoba,2021,38.64,"Forestry, fishing, mining, quarrying, oil and gas"
Manitoba,2022,40.65,"Forestry, fishing, mining, quarrying, oil and gas"
Manitoba,2023,37.42,"Forestry, fishing, mining, quarrying, oil and gas"
Manitoba,2024,39.03,"Forestry, fishing, mining, quarrying, oil and gas"
Manitoba,2025,43.91,"Forestry, fishing, mining, quarrying, oil and gas"
New Brunswick,2021,29.51,"Forestry, fishing, mining, quarrying, oil and gas"
New Brunswick,2022,26.93,"Forestry, fishing, mining, quarrying, oil and gas"
New Brunswick,2023,34.68,"Forestry, fishing, mining, quarrying, oil and gas"
New Brunswick,2024,38.63,"Forestry, fishing, mining, quarrying, oil and gas"
New Brunswick,2025,35.48,"Forestry, fishing, mining, quarrying, oil and gas"
Newfoundland and Labrador,2021,41.25,"Forestry, fishing, mining, quarrying, oil and gas"
Newfoundland and Labrador,2022,42.7,"Forestry, fishing, mining, quarrying, oil and gas"
Newfoundland and Labrador,2023,46.42,"Forestry, fishing, mining, quarrying, oil and gas"
Newfoundland and Labrador,2024,48.34,"Forestry, fishing, mining, quarrying, oil and gas"
Newfoundland and Labrador,2025,49.19,"Forestry, fishing, mining, quarrying, oil and gas"
Nova Scotia,2021,27.91,"Forestry, fishing, mining, quarrying, oil and gas"
Nova Scotia,2022,31.47,"Forestry, fishing, mining, quarrying, oil and gas"
Nova Scotia,2023,31.78,"Forestry, fishing, mining, quarrying, oil and gas"
Nova Scotia,2024,30.9,"Forestry, fishing, mining, quarrying, oil and gas"
Nova Scotia,2025,28.93,"Forestry, fishing, mining, quarrying, oil and gas"
Ontario,2021,42.07,"Forestry, fishing, mining, quarrying, oil and gas"
Ontario,2022,40.5,"Forestry, fishing, mining, quarrying, oil and gas"
Ontario,2023,44.62,"Forestry, fishing, mining, quarrying, oil and gas"
Ontario,2024,46.4,"Forestry, fishing, mining, quarrying, oil and gas"
Ontario,2025,46.65,"Forestry, fishing, mining, quarrying, oil and gas"
Prince Edward Island,2021,22.94,"Forestry, fishing, mining, quarrying, oil and gas"
Prince Edward Island,2022,26.28,"Forestry, fishing, mining, quarrying, oil and gas"
Prince Edward Island,2023,28.26,"Forestry, fishing, mining, quarrying, oil and gas"
Prince Edward Island,2024,26.66,"Forestry, fishing, mining, quarrying, oil and gas"
Prince Edward Island,2025,27.99,"Forestry, fishing, mining, quarrying, oil and gas"
Quebec,2021,36.08,"Forestry, fishing, mining, quarrying, oil and gas"
Quebec,2022,41.07,"Forestry, fishing, mining, quarrying, oil and gas"
Quebec,2023,42.4,"Forestry, fishing, mining, quarrying, oil and gas"
Quebec,2024,43.15,"Forestry, fishing, mining, quarrying, oil and gas"
Quebec,2025,43.11,"Forestry, fishing, mining, quarrying, oil and gas"
Saskatchewan,2021,44.16,"Forestry, fishing, mining, quarrying, oil and gas"
Saskatchewan,2022,44.74,"Forestry, fishing, mining, quarrying, oil and gas"
Saskatchewan,2023,47.94,"Forestry, fishing, mining, quarrying, oil and gas"
Saskatchewan,2024,48.2,"Forestry, fishing, mining, quarrying, oil and gas"
Saskatchewan,2025,51.71,"Forestry, fishing, mining, quarrying, oil and gas"
Alberta,2021,52.12,Utilities
Alberta,2022,51.65,Utilities
Alberta,2023,50.94,Utilities
Alberta,2024,52.77,Utilities
Alberta,2025,57.24,Utilities
British Columbia,2021,46.12,Utilities
British Columbia,2022,44.84,Utilities
British Columbia,2023,43.94,Utilities
British Columbia,2024,49.63,Utilities
British Columbia,2025,52.72,Utilities
Manitoba,2021,40.48,Utilities
Manitoba,2022,41.41,Utilities
Manitoba,2023,44.19,Utilities
Manitoba,2024,40.24,Utilities
Manitoba,2025,43.4,Utilities
New Brunswick,2021,43.64,Utilities
New Brunswick,2022,42.51,Utilities
New Brunswick,2023,45.17,Utilities
New Brunswick,2024,44.99,Utilities
New Brunswick,2025,45.91,Utilities
Newfoundland and Labrador,2021,44.29,Utilities
Newfoundland and Labrador,2022,43.19,Utilities
Newfoundland and Labrador,2023,46.46,Utilities
Newfoundland and Labrador,2024,48.78,Utilities
Newfoundland and Labrador,2025,51.75,Utilities
Nova Scotia,2021,38.66,Utilities
Nova Scotia,2022,40.46,Utilities
Nova Scotia,2023,39.52,Utilities
Nova Scotia,2024,42.56,Utilities
Nova Scotia,2025,45.87,Utilities
Ontario,2021,48.02,Utilities
Ontario,2022,49.15,Utilities
Ontario,2023,50.72,Utilities
Ontario,2024,57.13,Utilities
Ontario,2025,59.95,Utilities
Prince Edward Island,2021,42.95,Utilities
Prince Edward Island,2022,41.56,Utilities
Prince Edward Island,2023,44.07,Utilities
Prince Edward Island,2024,45.47,Utilities
Prince Edward Island,2025,40.5,Utilities
Quebec,2021,46.72,Utilities
Quebec,2022,48.4,Utilities
Quebec,2023,52.07,Utilities
Quebec,2024,52.75,Utilities
Quebec,2025,55.42,Utilities
Saskatchewan,2021,43.29,Utilities
Saskatchewan,2022,43.13,Utilities
Saskatchewan,2023,45.29,Utilities
Saskatchewan,2024,49.67,Utilities
Saskatchewan,2025,49.3,Utilities
Alberta,2021,33.6,Construction
Alberta,2022,35.9,Construction
Alberta,2023,37.1,Construction
Alberta,2024,38.39,Construction
Alberta,2025,38.59,Construction
British Columbia,2021,32.42,Construction
British Columbia,2022,34.34,Construction
British Columbia,2023,36.78,Construction
British Columbia,2024,37.58,Construction
British Columbia,2025,40.15,Construction
Manitoba,2021,29.14,Construction
Manitoba,2022,29.44,Construction
Manitoba,2023,30.39,Construction
Manitoba,2024,32.86,Construction
Manitoba,2025,33.46,Construction
New Brunswick,2021,25.75,Construction
New Brunswick,2022,27.93,Construction
New Brunswick,2023,27.48,Construction
New Brunswick,2024,28.7,Construction
New Brunswick,2025,31.23,Construction
Newfoundland and Labrador,2021,29.61,Construction
Newfoundland and Labrador,2022,30.7,Construction
Newfoundland and Labrador,2023,32.84,Construction
Newfoundland and Labrador,2024,33.11,Construction
Newfoundland and Labrador,2025,33.61,Construction
Nova Scotia,2021,26.23,Construction
Nova Scotia,2022,27.47,Construction
Nova Scotia,2023,29.06,Construction
Nova Scotia,2024,30.58,Construction
Nova Scotia,2025,31.08,Construction
Ontario,2021,32.66,Construction
Ontario,2022,33.92,Construction
Ontario,2023,35.87,Construction
Ontario,2024,37.49,Construction
Ontario,2025,38.43,Construction
Prince Edward Island,2021,23.87,Construction
Prince Edward Island,2022,24.27,Construction
Prince Edward Island,2023,26.09,Construction
Prince Edward Island,2024,27.76,Construction
Prince Edward Island,2025,28.41,Construction
Quebec,2021,31.94,Construction
Quebec,2022,34.28,Construction
Quebec,2023,35.9,Construction
Quebec,2024,36.46,Construction
Quebec,2025,38.08,Construction
Saskatchewan,2021,30.71,Construction
Saskatchewan,2022,32.26,Construction
Saskatchewan,2023,32.68,Construction
Saskatchewan,2024,34.36,Construction
Saskatchewan,2025,32.99,Construction
Alberta,2021,34.47,Manufacturing
Alberta,2022,34.88,Manufacturing
Alberta,2023,35.48,Manufacturing
Alberta,2024,35.84,Manufacturing
Alberta,2025,36.44,Manufacturing
British Columbia,2021,30.6,Manufacturing
British Columbia,2022,34.33,Manufacturing
British Columbia,2023,35.17,Manufacturing
British Columbia,2024,36.24,Manufacturing
British Columbia,2025,37.57,Manufacturing
Manitoba,2021,25.99,Manufacturing
Manitoba,2022,26.64,Manufacturing
Manitoba,2023,28.8,Manufacturing
Manitoba,2024,29.07,Manufacturing
Manitoba,2025,29.63,Manufacturing
New Brunswick,2021,25.86,Manufacturing
New Brunswick,2022,27.39,Manufacturing
New Brunswick,2023,28.61,Manufacturing
New Brunswick,2024,31.69,Manufacturing
New Brunswick,2025,30.26,Manufacturing
Newfoundland and Labrador,2021,26.51,Manufacturing
Newfoundland and Labrador,2022,28.59,Manufacturing
Newfoundland and Labrador,2023,31.38,Manufacturing
Newfoundland and Labrador,2024,29.28,Manufacturing
Newfoundland and Labrador,2025,30.5,Manufacturing
Nova Scotia,2021,25.48,Manufacturing
Nova Scotia,2022,26.69,Manufacturing
Nova Scotia,2023,29.89,Manufacturing
Nova Scotia,2024,32.97,Manufacturing
Nova Scotia,2025,32.12,Manufacturing
Ontario,2021,29.23,Manufacturing
Ontario,2022,30.87,Manufacturing
Ontario,2023,33.24,Manufacturing
Ontario,2024,34.74,Manufacturing
Ontario,2025,35.17,Manufacturing
Prince Edward Island,2021,22.52,Manufacturing
Prince Edward Island,2022,24.61,Manufacturing
Prince Edward Island,2023,26.96,Manufacturing
Prince Edward Island,2024,28.27,Manufacturing
Prince Edward Island,2025,27.44,Manufacturing
Quebec,2021,28.49,Manufacturing
Quebec,2022,30.31,Manufacturing
Quebec,2023,32.87,Manufacturing
Quebec,2024,33.79,Manufacturing
Quebec,2025,35.62,Manufacturing
Saskatchewan,2021,30.85,Manufacturing
Saskatchewan,2022,32.77,Manufacturing
Saskatchewan,2023,32.47,Manufacturing
Saskatchewan,2024,32.87,Manufacturing
Saskatchewan,2025,35.11,Manufacturing
Alberta,2021,31.52,Services-producing sector
Alberta,2022,31.96,Services-producing sector
Alberta,2023,33.25,Services-producing sector
Alberta,2024,34.42,Services-producing sector
Alberta,2025,35.44,Services-producing sector
British Columbia,2021,30.9,Services-producing sector
British Columbia,2022,32.07,Services-producing sector
British Columbia,2023,34.32,Services-producing sector
British Columbia,2024,36.22,Services-producing sector
British Columbia,2025,37.5,Services-producing sector
Manitoba,2021,27.06,Services-producing sector
Manitoba,2022,28.05,Services-producing sector
Manitoba,2023,29.18,Services-producing sector
Manitoba,2024,30.23,Services-producing sector
Manitoba,2025,31.53,Services-producing sector
New Brunswick,2021,25.24,Services-producing sector
New Brunswick,2022,27.21,Services-producing sector
New Brunswick,2023,28.54,Services-producing sector
New Brunswick,2024,29.95,Services-producing sector
New Brunswick,2025,31.17,Services-producing sector
Newfoundland and Labrador,2021,27.29,Services-producing sector
Newfoundland and Labrador,2022,28.13,Services-producing sector
Newfoundland and Labrador,2023,29.28,Services-producing sector
Newfoundland and Labrador,2024,31.07,Services-producing sector
Newfoundland and Labrador,2025,32.14,Services-producing sector
Nova Scotia,2021,25.98,Services-producing sector
Nova Scotia,2022,27.29,Services-producing sector
Nova Scotia,2023,28.66,Services-producing sector
Nova Scotia,2024,30.54,Services-producing sector
Nova Scotia,2025,32.51,Services-producing sector
Ontario,2021,31.77,Services-producing sector
Ontario,2022,33.04,Services-producing sector
Ontario,2023,34.52,Services-producing sector
Ontario,2024,36.39,Services-producing sector
Ontario,2025,37.76,Services-producing sector
Prince Edward Island,2021,25.95,Services-producing sector
Prince Edward Island,2022,27.58,Services-producing sector
Prince Edward Island,2023,28.49,Services-producing sector
Prince Edward Island,2024,30.19,Services-producing sector
Prince Edward Island,2025,30.93,Services-producing sector
Quebec,2021,29.03,Services-producing sector
Quebec,2022,30.58,Services-producing sector
Quebec,2023,31.81,Services-producing sector
Quebec,2024,33.43,Services-producing sector
Quebec,2025,34.5,Services-producing sector
Saskatchewan,2021,28.67,Services-producing sector
Saskatchewan,2022,29.5,Services-producing sector
Saskatchewan,2023,30.49,Services-producing sector
Saskatchewan,2024,31.51,Services-producing sector
Saskatchewan,2025,32.24,Services-producing sector
Alberta,2021,25.2,Wholesale and retail trade
Alberta,2022,25.9,Wholesale and retail trade
Alberta,2023,26.69,Wholesale and retail trade
Alberta,2024,27.27,Wholesale and retail trade
Alberta,2025,29.02,Wholesale and retail trade
British Columbia,2021,24.52,Wholesale and retail trade
British Columbia,2022,25.95,Wholesale and retail trade
British Columbia,2023,27.55,Wholesale and retail trade
British Columbia,2024,28.51,Wholesale and retail trade
British Columbia,2025,28.61,Wholesale and retail trade
Manitoba,2021,21.55,Wholesale and retail trade
Manitoba,2022,22.68,Wholesale and retail trade
Manitoba,2023,23.95,Wholesale and retail trade
Manitoba,2024,24.89,Wholesale and retail trade
Manitoba,2025,25.64,Wholesale and retail trade
New Brunswick,2021,19.56,Wholesale and retail trade
New Brunswick,2022,19.68,Wholesale and retail trade
New Brunswick,2023,22.06,Wholesale and retail trade
New Brunswick,2024,23.5,Wholesale and retail trade
New Brunswick,2025,23.67,Wholesale and retail trade
Newfoundland and Labrador,2021,20.03,Wholesale and retail trade
Newfoundland and Labrador,2022,19.94,Wholesale and retail trade
Newfoundland and Labrador,2023,21.16,Wholesale and retail trade
Newfoundland and Labrador,2024,22.29,Wholesale and retail trade
Newfoundland and Labrador,2025,23.99,Wholesale and retail trade
Nova Scotia,2021,19.45,Wholesale and retail trade
Nova Scotia,2022,20.06,Wholesale and retail trade
Nova Scotia,2023,22.03,Wholesale and retail trade
Nova Scotia,2024,23.09,Wholesale and retail trade
Nova Scotia,2025,24.52,Wholesale and retail trade
Ontario,2021,24.27,Wholesale and retail trade
Ontario,2022,25.4,Wholesale and retail trade
Ontario,2023,26.74,Wholesale and retail trade
Ontario,2024,28.07,Wholesale and retail trade
Ontario,2025,28.46,Wholesale and retail trade
Prince Edward Island,2021,18.46,Wholesale and retail trade
Prince Edward Island,2022,19.3,Wholesale and retail trade
Prince Edward Island,2023,21.01,Wholesale and retail trade
Prince Edward Island,2024,21.75,Wholesale and retail trade
Prince Edward Island,2025,22.85,Wholesale and retail trade
Quebec,2021,22.2,Wholesale and retail trade
Quebec,2022,23.89,Wholesale and retail trade
Quebec,2023,24.89,Wholesale and retail trade
Quebec,2024,26.12,Wholesale and retail trade
Quebec,2025,26.19,Wholesale and retail trade
Saskatchewan,2021,23.11,Wholesale and retail trade
Saskatchewan,2022,23.65,Wholesale and retail trade
Saskatchewan,2023,24.7,Wholesale and retail trade
Saskatchewan,2024,26.32,Wholesale and retail trade
Saskatchewan,2025,26.12,Wholesale and retail trade
Alberta,2021,33.34,Transportation and warehousing
Alberta,2022,32.06,Transportation and warehousing
Alberta,2023,34.79,Transportation and warehousing
Alberta,2024,36.02,Transportation and warehousing
Alberta,2025,37.83,Transportation and warehousing
British Columbia,2021,32.94,Transportation and warehousing
British Columbia,2022,33.03,Transportation and warehousing
British Columbia,2023,36.48,Transportation and warehousing
British Columbia,2024,36.75,Transportation and warehousing
British Columbia,2025,38.39,Transportation and warehousing
Manitoba,2021,28.17,Transportation and warehousing
Manitoba,2022,29.34,Transportation and warehousing
Manitoba,2023,29.11,Transportation and warehousing
Manitoba,2024,30.21,Transportation and warehousing
Manitoba,2025,32.78,Transportation and warehousing
New Brunswick,2021,23.79,Transportation and warehousing
New Brunswick,2022,26.02,Transportation and warehousing
New Brunswick,2023,27.38,Transportation and warehousing
New Brunswick,2024,28.47,Transportation and warehousing
New Brunswick,2025,30.46,Transportation and warehousing
Newfoundland and Labrador,2021,30.44,Transportation and warehousing
Newfoundland and Labrador,2022,27.89,Transportation and warehousing
Newfoundland and Labrador,2023,29.12,Transportation and warehousing
Newfoundland and Labrador,2024,34.35,Transportation and warehousing
Newfoundland and Labrador,2025,34.79,Transportation and warehousing
Nova Scotia,2021,25.78,Transportation and warehousing
Nova Scotia,2022,27.76,Transportation and warehousing
Nova Scotia,2023,28.03,Transportation and warehousing
Nova Scotia,2024,30.8,Transportation and warehousing
Nova Scotia,2025,31.69,Transportation and warehousing
Ontario,2021,29.2,Transportation and warehousing
Ontario,2022,29.9,Transportation and warehousing
Ontario,2023,31.63,Transportation and warehousing
Ontario,2024,33.24,Transportation and warehousing
Ontario,2025,33.43,Transportation and warehousing
Prince Edward Island,2021,24.03,Transportation and warehousing
Prince Edward Island,2022,26.57,Transportation and warehousing
Prince Edward Island,2023,25.21,Transportation and warehousing
Prince Edward Island,2024,26.73,Transportation and warehousing
Prince Edward Island,2025,28.07,Transportation and warehousing
Quebec,2021,28.53,Transportation and warehousing
Quebec,2022,29.41,Transportation and warehousing
Quebec,2023,29.99,Transportation and warehousing
Quebec,2024,31.47,Transportation and warehousing
Quebec,2025,31.45,Transportation and warehousing
Saskatchewan,2021,30.38,Transportation and warehousing
Saskatchewan,2022,30.99,Transportation and warehousing
Saskatchewan,2023,30.61,Transportation and warehousing
Saskatchewan,2024,32.18,Transportation and warehousing
Saskatchewan,2025,32.01,Transportation and warehousing
Alberta,2021,36.27,"Finance, insurance, real estate, rental and leasing"
Alberta,2022,38.69,"Finance, insurance, real estate, rental and leasing"
Alberta,2023,39.19,"Finance, insurance, real estate, rental and leasing"
Alberta,2024,43.22,"Finance, insurance, real estate, rental and leasing"
Alberta,2025,43.23,"Finance, insurance, real estate, rental and leasing"
British Columbia,2021,35.92,"Finance, insurance, real estate, rental and leasing"
British Columbia,2022,37.53,"Finance, insurance, real estate, rental and leasing"
British Columbia,2023,40.75,"Finance, insurance, real estate, rental and leasing"
British Columbia,2024,40.62,"Finance, insurance, real estate, rental and leasing"
British Columbia,2025,43.63,"Finance, insurance, real estate, rental and leasing"

Manitoba,2021,32.51,"Finance, insurance, real estate, rental and leasing"
Manitoba,2022,33.37,"Finance, insurance, real estate, rental and leasing"
Manitoba,2023,34.04,"Finance, insurance, real estate, rental and leasing"
Manitoba,2024,35.31,"Finance, insurance, real estate, rental and leasing"
Manitoba,2025,37.05,"Finance, insurance, real estate, rental and leasing"
New Brunswick,2021,28.89,"Finance, insurance, real estate, rental and leasing"
New Brunswick,2022,29.86,"Finance, insurance, real estate, rental and leasing"
New Brunswick,2023,33.03,"Finance, insurance, real estate, rental and leasing"
New Brunswick,2024,31.96,"Finance, insurance, real estate, rental and leasing"
New Brunswick,2025,33.33,"Finance, insurance, real estate, rental and leasing"
Newfoundland and Labrador,2021,28.94,"Finance, insurance, real estate, rental and leasing"
Newfoundland and Labrador,2022,32.68,"Finance, insurance, real estate, rental and leasing"
Newfoundland and Labrador,2023,33.84,"Finance, insurance, real estate, rental and leasing"
Newfoundland and Labrador,2024,34.78,"Finance, insurance, real estate, rental and leasing"
