Province,Year,Wage,Category
Newfoundland and Labrador,2025,35.53,"Finance, insurance, real estate, rental and leasing"
Nova Scotia,2021,28.45,"Finance, insurance, real estate, rental and leasing"
Nova Scotia,2022,30.26,"Finance, insurance, real estate, rental and leasing"
Nova Scotia,2023,32.88,"Finance, insurance, real estate, rental and leasing"
Nova Scotia,2024,33.05,"Finance, insurance, real estate, rental and leasing"
Nova Scotia,2025,37.17,"Finance, insurance, real estate, rental and leasing"
Ontario,2021,39.82,"Finance, insurance, real estate, rental and leasing"
Ontario,2022,41.03,"Finance, insurance, real estate, rental and leasing"
Ontario,2023,43.25,"Finance, insurance, real estate, rental and leasing"
Ontario,2024,44.99,"Finance, insurance, real estate, rental and leasing"
Ontario,2025,46.39,"Finance, insurance, real estate, rental and leasing"
Prince Edward Island,2021,26.2,"Finance, insurance, real estate, rental and leasing"
Prince Edward Island,2022,30.76,"Finance, insurance, real estate, rental and leasing"
Prince Edward Island,2023,31.32,"Finance, insurance, real estate, rental and leasing"
Prince Edward Island,2024,33.04,"Finance, insurance, real estate, rental and leasing"
Prince Edward Island,2025,30.98,"Finance, insurance, real estate, rental and leasing"
Quebec,2021,35.96,"Finance, insurance, real estate, rental and leasing"
Quebec,2022,37.1,"Finance, insurance, real estate, rental and leasing"
Quebec,2023,39.29,"Finance, insurance, real estate, rental and leasing"
Quebec,2024,42.32,"Finance, insurance, real estate, rental and leasing"
Quebec,2025,43.56,"Finance, insurance, real estate, rental and leasing"
Saskatchewan,2021,35.22,"Finance, insurance, real estate, rental and leasing"
Saskatchewan,2022,35.36,"Finance, insurance, real estate, rental and leasing"
Saskatchewan,2023,36.28,"Finance, insurance, real estate, rental and leasing"
Saskatchewan,2024,38.84,"Finance, insurance, real estate, rental and leasing"
Saskatchewan,2025,38.07,"Finance, insurance, real estate, rental and leasing"
Alberta,2021,40.65,"Professional, scientific and technical services"
Alberta,2022,41.88,"Professional, scientific and technical services"
Alberta,2023,44.43,"Professional, scientific and technical services"
Alberta,2024,47.65,"Professional, scientific and technical services"
Alberta,2025,47.53,"Professional, scientific and technical services"
British Columbia,2021,40.55,"Professional, scientific and technical services"
British Columbia,2022,43.37,"Professional, scientific and technical services"
British Columbia,2023,46.57,"Professional, scientific and technical services"
British Columbia,2024,50.92,"Professional, scientific and technical services"
British Columbia,2025,49.73,"Professional, scientific and technical services"
Manitoba,2021,32.79,"Professional, scientific and technical services"
Manitoba,2022,34.41,"Professional, scientific and technical services"
Manitoba,2023,36.79,"Professional, scientific and technical services"
Manitoba,2024,37.24,"Professional, scientific and technical services"
Manitoba,2025,38.75,"Professional, scientific and technical services"
New Brunswick,2021,30.47,"Professional, scientific and technical services"
New Brunswick,2022,37.21,"Professional, scientific and technical services"
New Brunswick,2023,37.58,"Professional, scientific and technical services"
New Brunswick,2024,39.02,"Professional, scientific and technical services"
New Brunswick,2025,39.07,"Professional, scientific and technical services"
Newfoundland and Labrador,2021,33.99,"Professional, scientific and technical services"
Newfoundland and Labrador,2022,38.67,"Professional, scientific and technical services"
Newfoundland and Labrador,2023,39.9,"Professional, scientific and technical services"
Newfoundland and Labrador,2024,42.1,"Professional, scientific and technical services"
Newfoundland and Labrador,2025,44.11,"Professional, scientific and technical services"
Nova Scotia,2021,33.59,"Professional, scientific and technical services"
Nova Scotia,2022,36.94,"Professional, scientific and technical services"
Nova Scotia,2023,38.93,"Professional, scientific and technical services"
Nova Scotia,2024,43.47,"Professional, scientific and technical services"
Nova Scotia,2025,43.01,"Professional, scientific and technical services"
Ontario,2021,39.98,"Professional, scientific and technical services"
Ontario,2022,43.52,"Professional, scientific and technical services"
Ontario,2023,46.41,"Professional, scientific and technical services"
Ontario,2024,49.67,"Professional, scientific and technical services"
Ontario,2025,51.41,"Professional, scientific and technical services"
Prince Edward Island,2021,29.8,"Professional, scientific and technical services"
Prince Edward Island,2022,31.75,"Professional, scientific and technical services"
Prince Edward Island,2023,32.29,"Professional, scientific and technical services"
Prince Edward Island,2024,34.94,"Professional, scientific and technical services"
Prince Edward Island,2025,37.23,"Professional, scientific and technical services"
Quebec,2021,34.88,"Professional, scientific and technical services"
Quebec,2022,38.33,"Professional, scientific and technical services"
Quebec,2023,40.21,"Professional, scientific and technical services"
Quebec,2024,43.04,"Professional, scientific and technical services"
Quebec,2025,44.76,"Professional, scientific and technical services"
Saskatchewan,2021,33.01,"Professional, scientific and technical services"
Saskatchewan,2022,37.07,"Professional, scientific and technical services"
Saskatchewan,2023,39.13,"Professional, scientific and technical services"
Saskatchewan,2024,39.56,"Professional, scientific and technical services"
Saskatchewan,2025,42.29,"Professional, scientific and technical services"
Alberta,2021,25.11,"Business, building and other support services"
Alberta,2022,25.44,"Business, building and other support services"
Alberta,2023,27.0,"Business, building and other support services"
Alberta,2024,28.46,"Business, building and other support services"
Alberta,2025,29.12,"Business, building and other support services"
British Columbia,2021,25.31,"Business, building and other support services"
British Columbia,2022,25.76,"Business, building and other support services"
British Columbia,2023,27.24,"Business, building and other support services"
British Columbia,2024,29.04,"Business, building and other support services"
British Columbia,2025,30.68,"Business, building and other support services"
Manitoba,2021,19.46,"Business, building and other support services"
Manitoba,2022,21.1,"Business, building and other support services"
Manitoba,2023,21.15,"Business, building and other support services"
Manitoba,2024,23.8,"Business, building and other support services"
Manitoba,2025,24.0,"Business, building and other support services"
New Brunswick,2021,20.33,"Business, building and other support services"
New Brunswick,2022,21.29,"Business, building and other support services"
New Brunswick,2023,21.68,"Business, building and other support services"
New Brunswick,2024,21.92,"Business, building and other support services"
New Brunswick,2025,25.87,"Business, building and other support services"
Newfoundland and Labrador,2021,22.72,"Business, building and other support services"
Newfoundland and Labrador,2022,24.0,"Business, building and other support services"
Newfoundland and Labrador,2023,26.37,"Business, building and other support services"
Newfoundland and Labrador,2024,26.04,"Business, building and other support services"
Newfoundland and Labrador,2025,25.46,"Business, building and other support services"
Nova Scotia,2021,18.78,"Business, building and other support services"
Nova Scotia,2022,20.64,"Business, building and other support services"
Nova Scotia,2023,21.63,"Business, building and other support services"
Nova Scotia,2024,22.9,"Business, building and other support services"
Nova Scotia,2025,24.48,"Business, building and other support services"
Ontario,2021,23.9,"Business, building and other support services"
Ontario,2022,25.27,"Business, building and other support services"
Ontario,2023,26.56,"Business, building and other support services"
Ontario,2024,26.19,"Business, building and other support services"
Ontario,2025,29.13,"Business, building and other support services"
Prince Edward Island,2021,16.66,"Business, building and other support services"
Prince Edward Island,2022,19.64,"Business, building and other support services"
Prince Edward Island,2023,19.67,"Business, building and other support services"
Prince Edward Island,2024,23.21,"Business, building and other support services"
Prince Edward Island,2025,23.21,"Business, building and other support services"
Quebec,2021,22.91,"Business, building and other support services"
Quebec,2022,25.17,"Business, building and other support services"
Quebec,2023,25.48,"Business, building and other support services"
Quebec,2024,27.7,"Business, building and other support services"
Quebec,2025,28.52,"Business, building and other support services"
Saskatchewan,2021,22.46,"Business, building and other support services"
Saskatchewan,2022,22.12,"Business, building and other support services"
Saskatchewan,2023,24.17,"Business, building and other support services"
Saskatchewan,2024,24.98,"Business, building and other support services"
Saskatchewan,2025,23.16,"Business, building and other support services"
Alberta,2021,37.07,Educational services
Alberta,2022,37.09,Educational services
Alberta,2023,38.33,Educational services
Alberta,2024,38.46,Educational services
Alberta,2025,40.27,Educational services
British Columbia,2021,34.67,Educational services
British Columbia,2022,35.69,Educational services
British Columbia,2023,38.77,Educational services
British Columbia,2024,40.97,Educational services
British Columbia,2025,43.32,Educational services
Manitoba,2021,33.59,Educational services
Manitoba,2022,33.95,Educational services
Manitoba,2023,34.82,Educational services
Manitoba,2024,36.09,Educational services
Manitoba,2025,37.06,Educational services
New Brunswick,2021,31.52,Educational services
New Brunswick,2022,34.52,Educational services
New Brunswick,2023,33.43,Educational services
New Brunswick,2024,35.68,Educational services
New Brunswick,2025,35.16,Educational services
Newfoundland and Labrador,2021,38.58,Educational services
Newfoundland and Labrador,2022,39.96,Educational services
Newfoundland and Labrador,2023,41.1,Educational services
Newfoundland and Labrador,2024,42.84,Educational services
Newfoundland and Labrador,2025,41.49,Educational services
Nova Scotia,2021,32.0,Educational services
Nova Scotia,2022,32.75,Educational services
Nova Scotia,2023,33.3,Educational services
Nova Scotia,2024,34.73,Educational services
Nova Scotia,2025,37.55,Educational services
Ontario,2021,38.73,Educational services
Ontario,2022,39.43,Educational services
Ontario,2023,39.89,Educational services
Ontario,2024,41.24,Educational services
Ontario,2025,43.38,Educational services
Prince Edward Island,2021,34.85,Educational services
Prince Edward Island,2022,33.3,Educational services
Prince Edward Island,2023,33.82,Educational services
Prince Edward Island,2024,37.44,Educational services
Prince Edward Island,2025,36.22,Educational services
Quebec,2021,36.06,Educational services
Quebec,2022,37.16,Educational services
Quebec,2023,39.05,Educational services
Quebec,2024,40.93,Educational services
Quebec,2025,43.7,Educational services
Saskatchewan,2021,35.37,Educational services
Saskatchewan,2022,36.27,Educational services
Saskatchewan,2023,36.78,Educational services
Saskatchewan,2024,37.74,Educational services
Saskatchewan,2025,38.22,Educational services
Alberta,2021,32.36,Health care and social assistance
Alberta,2022,32.48,Health care and social assistance
Alberta,2023,33.87,Health care and social assistance
Alberta,2024,34.56,Health care and social assistance
Alberta,2025,35.5,Health care and social assistance
British Columbia,2021,31.35,Health care and social assistance
British Columbia,2022,31.72,Health care and social assistance
British Columbia,2023,34.22,Health care and social assistance
British Columbia,2024,36.25,Health care and social assistance
British Columbia,2025,38.24,Health care and social assistance
Manitoba,2021,27.52,Health care and social assistance
Manitoba,2022,28.16,Health care and social assistance
Manitoba,2023,29.49,Health care and social assistance
Manitoba,2024,29.99,Health care and social assistance
Manitoba,2025,31.89,Health care and social assistance
New Brunswick,2021,26.39,Health care and social assistance
New Brunswick,2022,27.99,Health care and social assistance
New Brunswick,2023,28.77,Health care and social assistance
New Brunswick,2024,30.11,Health care and social assistance
New Brunswick,2025,32.57,Health care and social assistance
Newfoundland and Labrador,2021,28.03,Health care and social assistance
Newfoundland and Labrador,2022,28.57,Health care and social assistance
Newfoundland and Labrador,2023,29.3,Health care and social assistance
Newfoundland and Labrador,2024,29.83,Health care and social assistance
Newfoundland and Labrador,2025,32.36,Health care and social assistance
Nova Scotia,2021,26.82,Health care and social assistance
Nova Scotia,2022,28.3,Health care and social assistance
Nova Scotia,2023,29.06,Health care and social assistance
Nova Scotia,2024,31.63,Health care and social assistance
Nova Scotia,2025,34.39,Health care and social assistance
Ontario,2021,30.03,Health care and social assistance
Ontario,2022,31.28,Health care and social assistance
Ontario,2023,32.49,Health care and social assistance
Ontario,2024,34.41,Health care and social assistance
Ontario,2025,35.93,Health care and social assistance
Prince Edward Island,2021,27.31,Health care and social assistance
Prince Edward Island,2022,30.14,Health care and social assistance
Prince Edward Island,2023,29.84,Health care and social assistance
Prince Edward Island,2024,31.82,Health care and social assistance
Prince Edward Island,2025,33.86,Health care and social assistance
Quebec,2021,27.5,Health care and social assistance
Quebec,2022,29.45,Health care and social assistance
Quebec,2023,30.28,Health care and social assistance
Quebec,2024,31.53,Health care and social assistance
Quebec,2025,32.16,Health care and social assistance
Saskatchewan,2021,29.71,Health care and social assistance
Saskatchewan,2022,31.03,Health care and social assistance
Saskatchewan,2023,31.75,Health care and social assistance
Saskatchewan,2024,31.51,Health care and social assistance
Saskatchewan,2025,32.42,Health care and social assistance
Alberta,2021,29.71,"Information, culture and recreation"
Alberta,2022,30.47,"Information, culture and recreation"
Alberta,2023,27.61,"Information, culture and recreation"
Alberta,2024,26.99,"Information, culture and recreation"
Alberta,2025,29.18,"Information, culture and recreation"
British Columbia,2021,33.92,"Information, culture and recreation"
British Columbia,2022,33.13,"Information, culture and recreation"
British Columbia,2023,34.29,"Information, culture and recreation"
British Columbia,2024,36.47,"Information, culture and recreation"
British Columbia,2025,36.39,"Information, culture and recreation"
Manitoba,2021,25.95,"Information, culture and recreation"
Manitoba,2022,24.7,"Information, culture and recreation"
Manitoba,2023,27.23,"Information, culture and recreation"
Manitoba,2024,26.59,"Information, culture and recreation"
Manitoba,2025,27.68,"Information, culture and recreation"
New Brunswick,2021,25.61,"Information, culture and recreation"
New Brunswick,2022,24.39,"Information, culture and recreation"
New Brunswick,2023,26.67,"Information, culture and recreation"
New Brunswick,2024,26.64,"Information, culture and recreation"
New Brunswick,2025,29.8,"Information, culture and recreation"
Newfoundland and Labrador,2021,24.23,"Information, culture and recreation"
Newfoundland and Labrador,2022,25.71,"Information, culture and recreation"
Newfoundland and Labrador,2023,26.72,"Information, culture and recreation"
Newfoundland and Labrador,2024,27.6,"Information, culture and recreation"
Newfoundland and Labrador,2025,27.96,"Information, culture and recreation"
Nova Scotia,2021,25.18,"Information, culture and recreation"
Nova Scotia,2022,25.96,"Information, culture and recreation"
Nova Scotia,2023,28.02,"Information, culture and recreation"
Nova Scotia,2024,27.15,"Information, culture and recreation"
Nova Scotia,2025,30.89,"Information, culture and recreation"
Ontario,2021,32.28,"Information, culture and recreation"
Ontario,2022,32.53,"Information, culture and recreation"
Ontario,2023,32.16,"Information, culture and recreation"
Ontario,2024,33.4,"Information, culture and recreation"
Ontario,2025,36.46,"Information, culture and recreation"
Prince Edward Island,2021,23.15,"Information, culture and recreation"
Prince Edward Island,2022,23.38,"Information, culture and recreation"
Prince Edward Island,2023,23.59,"Information, culture and recreation"
Prince Edward Island,2024,23.85,"Information, culture and recreation"
Prince Edward Island,2025,24.04,"Information, culture and recreation"
Quebec,2021,30.15,"Information, culture and recreation"
Quebec,2022,30.7,"Information, culture and recreation"
Quebec,2023,31.1,"Information, culture and recreation"
Quebec,2024,32.19,"Information, culture and recreation"
Quebec,2025,33.46,"Information, culture and recreation"
Saskatchewan,2021,26.98,"Information, culture and recreation"
Saskatchewan,2022,25.4,"Information, culture and recreation"
Saskatchewan,2023,27.84,"Information, culture and recreation"
Saskatchewan,2024,27.91,"Information, culture and recreation"
Saskatchewan,2025,30.33,"Information, culture and recreation"
Alberta,2021,18.06,Accommodation and food services
Alberta,2022,18.36,Accommodation and food services
Alberta,2023,19.1,Accommodation and food services
Alberta,2024,20.26,Accommodation and food services
Alberta,2025,19.61,Accommodation and food services
British Columbia,2021,18.88,Accommodation and food services
British Columbia,2022,20.19,Accommodation and food services
British Columbia,2023,21.8,Accommodation and food services
British Columbia,2024,22.29,Accommodation and food services
British Columbia,2025,23.45,Accommodation and food services
Manitoba,2021,14.95,Accommodation and food services
Manitoba,2022,15.53,Accommodation and food services
Manitoba,2023,17.4,Accommodation and food services
Manitoba,2024,18.53,Accommodation and food services
Manitoba,2025,18.87,Accommodation and food services
New Brunswick,2021,14.54,Accommodation and food services
New Brunswick,2022,15.71,Accommodation and food services
New Brunswick,2023,17.28,Accommodation and food services
New Brunswick,2024,17.85,Accommodation and food services
New Brunswick,2025,18.65,Accommodation and food services
Newfoundland and Labrador,2021,15.49,Accommodation and food services
Newfoundland and Labrador,2022,16.48,Accommodation and food services
Newfoundland and Labrador,2023,17.0,Accommodation and food services
Newfoundland and Labrador,2024,18.44,Accommodation and food services
Newfoundland and Labrador,2025,19.24,Accommodation and food services
Nova Scotia,2021,15.49,Accommodation and food services
Nova Scotia,2022,16.31,Accommodation and food services
Nova Scotia,2023,17.83,Accommodation and food services
Nova Scotia,2024,18.76,Accommodation and food services
Nova Scotia,2025,19.48,Accommodation and food services
Ontario,2021,17.34,Accommodation and food services
Ontario,2022,18.86,Accommodation and food services
Ontario,2023,19.46,Accommodation and food services
Ontario,2024,20.49,Accommodation and food services
Ontario,2025,21.15,Accommodation and food services
Prince Edward Island,2021,15.59,Accommodation and food services
Prince Edward Island,2022,16.89,Accommodation and food services
Prince Edward Island,2023,17.97,Accommodation and food services
Prince Edward Island,2024,19.06,Accommodation and food services
Prince Edward Island,2025,18.88,Accommodation and food services
Quebec,2021,17.02,Accommodation and food services
Quebec,2022,18.11,Accommodation and food services
Quebec,2023,20.25,Accommodation and food services
Quebec,2024,21.03,Accommodation and food services
Quebec,2025,20.96,Accommodation and food services
Saskatchewan,2021,15.24,Accommodation and food services
Saskatchewan,2022,15.85,Accommodation and food services
Saskatchewan,2023,16.34,Accommodation and food services
Saskatchewan,2024,17.39,Accommodation and food services
Saskatchewan,2025,18.09,Accommodation and food services
Alberta,2021,28.56,Other services (except public administration)
Alberta,2022,28.22,Other services (except public administration)
Alberta,2023,29.91,Other services (except public administration)
Alberta,2024,29.92,Other services (except public administration)
Alberta,2025,31.74,Other services (except public administration)
British Columbia,2021,27.38,Other services (except public administration)
British Columbia,2022,29.42,Other services (except public administration)
British Columbia,2023,30.25,Other services (except public administration)
British Columbia,2024,32.25,Other services (except public administration)
British Columbia,2025,33.15,Other services (except public administration)
Manitoba,2021,25.19,Other services (except public administration)
Manitoba,2022,25.52,Other services (except public administration)
Manitoba,2023,25.83,Other services (except public administration)
Manitoba,2024,27.03,Other services (except public administration)
Manitoba,2025,28.85,Other services (except public administration)
New Brunswick,2021,22.09,Other services (except public administration)
New Brunswick,2022,22.41,Other services (except public administration)
New Brunswick,2023,25.67,Other services (except public administration)
New Brunswick,2024,27.12,Other services (except public administration)
New Brunswick,2025,27.79,Other services (except public administration)
Newfoundland and Labrador,2021,23.64,Other services (except public administration)
Newfoundland and Labrador,2022,23.31,Other services (except public administration)
Newfoundland and Labrador,2023,25.92,Other services (except public administration)
Newfoundland and Labrador,2024,27.14,Other services (except public administration)
Newfoundland and Labrador,2025,28.36,Other services (except public administration)
Nova Scotia,2021,24.04,Other services (except public administration)
Nova Scotia,2022,24.48,Other services (except public administration)
Nova Scotia,2023,24.53,Other services (except public administration)
Nova Scotia,2024,27.6,Other services (except public administration)
Nova Scotia,2025,28.32,Other services (except public administration)
Ontario,2021,28.1,Other services (except public administration)
Ontario,2022,27.92,Other services (except public administration)
Ontario,2023,29.26,Other services (except public administration)
Ontario,2024,31.17,Other services (except public administration)
Ontario,2025,32.1,Other services (except public administration)
Prince Edward Island,2021,21.98,Other services (except public administration)
Prince Edward Island,2022,24.76,Other services (except public administration)
Prince Edward Island,2023,24.81,Other services (except public administration)
Prince Edward Island,2024,26.76,Other services (except public administration)
Prince Edward Island,2025,24.99,Other services (except public administration)
Quebec,2021,24.86,Other services (except public administration)
Quebec,2022,26.62,Other services (except public administration)
Quebec,2023,28.5,Other services (except public administration)
Quebec,2024,29.7,Other services (except public administration)
Quebec,2025,31.43,Other services (except public administration)
Saskatchewan,2021,25.5,Other services (except public administration)
Saskatchewan,2022,25.8,Other services (except public administration)
Saskatchewan,2023,26.79,Other services (except public administration)
Saskatchewan,2024,28.95,Other services (except public administration)
Saskatchewan,2025,28.9,Other services (except public administration)
Alberta,2021,41.85,Public administration
Alberta,2022,43.29,Public administration
Alberta,2023,44.82,Public administration
Alberta,2024,46.1,Public administration
Alberta,2025,46.96,Public administration
British Columbia,2021,39.33,Public administration
British Columbia,2022,41.22,Public administration
British Columbia,2023,42.12,Public administration
British Columbia,2024,45.77,Public administration
British Columbia,2025,48.42,Public administration
Manitoba,2021,35.32,Public administration
New Brunswick,2021,33.61,Public administration
Newfoundland and Labrador,2021,34.43,Public administration
Nova Scotia,2021,37.24,Public administration
Ontario,2021,42.22,Public administration
Prince Edward Island,2021,34.38,Public administration
Quebec,2021,38.34,Public administration
Saskatchewan,2021,37.6,Public administration
Manitoba,2022,37.32,Public administration
New Brunswick,2022,36.91,Public administration
Newfoundland and Labrador,2022,36.47,Public administration
Nova Scotia,2022,37.91,Public administration
Ontario,2022,42.22,Public administration
Prince Edward Island,2022,35.58,Public administration
Quebec,2022,39.35,Public administration
Saskatchewan,2022,38.62,Public administration
Manitoba,2023,37.93,Public administration
New Brunswick,2023,37.69,Public administration
Newfoundland and Labrador,2023,38.04,Public administration
Nova Scotia,2023,39.72,Public administration
Ontario,2023,44.6,Public administration
Prince Edward Island,2023,37.7,Public administration
Quebec,2023,41.17,Public administration
Saskatchewan,2023,39.72,Public administration
Manitoba,2024,39.77,Public administration
New Brunswick,2024,40.15,Public administration
Newfoundland and Labrador,2024,40.68,Public administration
Nova Scotia,2024,41.92,Public administration
Ontario,2024,46.65,Public administration
Prince Edward Island,2024,39.93,Public administration
Quebec,2024,42.4,Public administration
Saskatchewan,2024,41.0,Public administration
Manitoba,2025,41.92,Public administration
New Brunswick,2025,41.31,Public administration
Newfoundland and Labrador,2025,41.2,Public administration
Nova Scotia,2025,43.91,Public administration
Ontario,2025,48.81,Public administration
Prince Edward Island,2025,40.67,Public administration
Quebec,2025,43.78,Public administration
Saskatchewan,2025,43.76,Public administration
